x,y
-2.64944200,5.30542046
-2.64943200,5.25546704
-2.64942200,5.20582665
-2.64941200,5.15649840
-2.64940200,5.10748140
-2.64939200,5.05877477
-2.64938200,5.01037762
-2.64937200,4.96228907
-2.64936200,4.91450825
-2.64935200,4.86703428
-2.64934200,4.81986627
-2.64933200,4.77300337
-2.64932200,4.72644469
-2.64931200,4.68018937
-2.64930200,4.63423654
-2.64929200,4.58858533
-2.64928200,4.54323489
-2.64927200,4.49818435
-2.64926200,4.45343285
-2.64925200,4.40897953
-2.64924200,4.36482354
-2.64923200,4.32096402
-2.64922200,4.27740013
-2.64921200,4.23413101
-2.64920200,4.19115582
-2.64919200,4.14847371
-2.64918200,4.10608383
-2.64917200,4.06398535
-2.64916200,4.02217742
-2.64915200,3.98065921
-2.64914200,3.93942987
-2.64913200,3.89848858
-2.64912200,3.85783451
-2.64911200,3.81746682
-2.64910200,3.77738468
-2.64909200,3.73758726
-2.64908200,3.69807375
-2.64907200,3.65884332
-2.64906200,3.61989515
-2.64905200,3.58122841
-2.64904200,3.54284230
-2.64903200,3.50473599
-2.64902200,3.46690868
-2.64901200,3.42935954
-2.64900200,3.39208778
-2.64899200,3.35509257
-2.64898200,3.31837313
-2.64897200,3.28192864
-2.64896200,3.24575829
-2.64895200,3.20986130
-2.64894200,3.17423685
-2.64893200,3.13888416
-2.64892200,3.10380243
-2.64891200,3.06899086
-2.64890200,3.03444866
-2.64889200,3.00017505
-2.64888200,2.96616923
-2.64887200,2.93243042
-2.64886200,2.89895783
-2.64885200,2.86575069
-2.64884200,2.83280821
-2.64883200,2.80012961
-2.64882200,2.76771412
-2.64881200,2.73556095
-2.64880200,2.70366935
-2.64879200,2.67203852
-2.64878200,2.64066772
-2.64877200,2.60955615
-2.64876200,2.57870307
-2.64875200,2.54810770
-2.64874200,2.51776929
-2.64873200,2.48768707
-2.64872200,2.45786027
-2.64871200,2.42828815
-2.64870200,2.39896995
-2.64869200,2.36990492
-2.64868200,2.34109229
-2.64867200,2.31253132
-2.64866200,2.28422127
-2.64865200,2.25616137
-2.64864200,2.22835090
-2.64863200,2.20078910
-2.64862200,2.17347524
-2.64861200,2.14640856
-2.64860200,2.11958834
-2.64859200,2.09301383
-2.64858200,2.06668431
-2.64857200,2.04059903
-2.64856200,2.01475727
-2.64855200,1.98915829
-2.64854200,1.96380137
-2.64853200,1.93868578
-2.64852200,1.91381079
-2.64851200,1.88917568
-2.64850200,1.86477974
-2.64849200,1.84062223
-2.64848200,1.81670244
-2.64847200,1.79301966
-2.64846200,1.76957316
-2.64845200,1.74636224
-2.64844200,1.72338618
-2.64843200,1.70064428
-2.64842200,1.67813582
-2.64841200,1.65586009
-2.64840200,1.63381640
-2.64839200,1.61200404
-2.64838200,1.59042230
-2.64837200,1.56907049
-2.64836200,1.54794791
-2.64835200,1.52705386
-2.64834200,1.50638764
-2.64833200,1.48594856
-2.64832200,1.46573593
-2.64831200,1.44574906
-2.64830200,1.42598726
-2.64829200,1.40644984
-2.64828200,1.38713612
-2.64827200,1.36804540
-2.64826200,1.34917702
-2.64825200,1.33053028
-2.64824200,1.31210451
-2.64823200,1.29389903
-2.64822200,1.27591317
-2.64821200,1.25814624
-2.64820200,1.24059758
-2.64819200,1.22326651
-2.64818200,1.20615237
-2.64817200,1.18925449
-2.64816200,1.17257219
-2.64815200,1.15610482
-2.64814200,1.13985170
-2.64813200,1.12381219
-2.64812200,1.10798561
-2.64811200,1.09237130
-2.64810200,1.07696862
-2.64809200,1.06177690
-2.64808200,1.04679549
-2.64807200,1.03202374
-2.64806200,1.01746099
-2.64805200,1.00310660
-2.64804200,0.98895991
-2.64803200,0.97502029
-2.64802200,0.96128708
-2.64801200,0.94775963
-2.64800200,0.93443732
-2.64799200,0.92131949
-2.64798200,0.90840551
-2.64797200,0.89569474
-2.64796200,0.88318654
-2.64795200,0.87088029
-2.64794200,0.85877533
-2.64793200,0.84687105
-2.64792200,0.83516682
-2.64791200,0.82366199
-2.64790200,0.81235596
-2.64789200,0.80124808
-2.64788200,0.79033774
-2.64787200,0.77962432
-2.64786200,0.76910718
-2.64785200,0.75878572
-2.64784200,0.74865930
-2.64783200,0.73872733
-2.64782200,0.72898917
-2.64781200,0.71944422
-2.64780200,0.71009186
-2.64779200,0.70093149
-2.64778200,0.69196248
-2.64777200,0.68318424
-2.64776200,0.67459615
-2.64775200,0.66619761
-2.64774200,0.65798802
-2.64773200,0.64996677
-2.64772200,0.64213327
-2.64771200,0.63448690
-2.64770200,0.62702708
-2.64769200,0.61975321
-2.64768200,0.61266468
-2.64767200,0.60576091
-2.64766200,0.59904131
-2.64765200,0.59250528
-2.64764200,0.58615223
-2.64763200,0.57998157
-2.64762200,0.57399272
-2.64761200,0.56818508
-2.64760200,0.56255809
-2.64759200,0.55711114
-2.64758200,0.55184367
-2.64757200,0.54675509
-2.64756200,0.54184481
-2.64755200,0.53711228
-2.64754200,0.53255690
-2.64753200,0.52817810
-2.64752200,0.52397531
-2.64751200,0.51994796
-2.64750200,0.51609548
-2.64749200,0.51241729
-2.64748200,0.50891283
-2.64747200,0.50558153
-2.64746200,0.50242283
-2.64745200,0.49943617
-2.64744200,0.49662097
-2.64743200,0.49397668
-2.64742200,0.49150275
-2.64741200,0.48919860
-2.64740200,0.48706368
-2.64739200,0.48509744
-2.64738200,0.48329933
-2.64737200,0.48166878
-2.64736200,0.48020525
-2.64735200,0.47890819
-2.64734200,0.47777704
-2.64733200,0.47681127
-2.64732200,0.47601031
-2.64731200,0.47537363
-2.64730200,0.47490069
-2.64729200,0.47459093
-2.64728200,0.47444382
-2.64727200,0.47445882
-2.64726200,0.47463539
-2.64725200,0.47497299
-2.64724200,0.47547109
-2.64723200,0.47612915
-2.64722200,0.47694663
-2.64721200,0.47792300
-2.64720200,0.47905774
-2.64719200,0.48035031
-2.64718200,0.48180019
-2.64717200,0.48340684
-2.64716200,0.48516974
-2.64715200,0.48708836
-2.64714200,0.48916219
-2.64713200,0.49139070
-2.64712200,0.49377336
-2.64711200,0.49630966
-2.64710200,0.49899909
-2.64709200,0.50184111
-2.64708200,0.50483522
-2.64707200,0.50798090
-2.64706200,0.51127764
-2.64705200,0.51472493
-2.64704200,0.51832225
-2.64703200,0.52206909
-2.64702200,0.52596495
-2.64701200,0.53000932
-2.64700200,0.53420169
-2.64699200,0.53854155
-2.64698200,0.54302841
-2.64697200,0.54766176
-2.64696200,0.55244110
-2.64695200,0.55736592
-2.64694200,0.56243574
-2.64693200,0.56765005
-2.64692200,0.57300835
-2.64691200,0.57851016
-2.64690200,0.58415497
-2.64689200,0.58994229
-2.64688200,0.59587163
-2.64687200,0.60194251
-2.64686200,0.60815443
-2.64685200,0.61450690
-2.64684200,0.62099944
-2.64683200,0.62763155
-2.64682200,0.63440277
-2.64681200,0.64131259
-2.64680200,0.64836055
-2.64679200,0.65554615
-2.64678200,0.66286893
-2.64677200,0.67032839
-2.64676200,0.67792407
-2.64675200,0.68565549
-2.64674200,0.69352216
-2.64673200,0.70152362
-2.64672200,0.70965940
-2.64671200,0.71792902
-2.64670200,0.72633200
-2.64669200,0.73486790
-2.64668200,0.74353622
-2.64667200,0.75233651
-2.64666200,0.76126830
-2.64665200,0.77033113
-2.64664200,0.77952453
-2.64663200,0.78884803
-2.64662200,0.79830119
-2.64661200,0.80788353
-2.64660200,0.81759459
-2.64659200,0.82743393
